2022-01-10,1,1
2022-01-12,,2
2022-01-14,,3
2022-01-19,2,4
2022-01-21,,5
2022-01-24,3,6
2022-01-26,,7
2022-01-28,,8
2022-01-31,4,9
2022-02-02,,10
2022-02-04,,11
2022-02-07,5,12
2022-02-09,,13
2022-02-11,,14
2022-02-14,6,15
2022-02-16,,16
2022-02-18,,17
2022-02-21,7,18
2022-02-23,,19
2022-02-25,,20
2022-02-28,8,21
2022-03-02,,22
2022-03-04,,23
2022-03-07,9,24
2022-03-09,,25
2022-03-11,,26
2022-03-21,10,27
2022-03-23,,28
2022-03-25,,29
2022-03-28,11,30
2022-03-30,,31
2022-04-01,,32
2022-04-04,12,33
2022-04-06,,34
2022-04-08,,35
2022-04-11,13,36
2022-04-13,,37
2022-04-15,,38
2022-04-18,14,39
2022-04-20,,40
2022-04-22,,41
2022-04-25,15,42
2022-04-27,,43
2022-04-29,,44
